Reference,Hypothesis,Type
і,*,OK
_,*,OK
р,*,OK
а,*,OK
п,*,OK
т,*,OK
о,*,OK
м,*,OK
_,*,OK
л,*,OK
і,*,OK
т,*,OK
о,*,OK
_,*,OK
з,*,OK
г,*,OK
а,*,OK
д,*,OK
а,*,OK
в,*,OK
ш,*,OK
и,*,OK
_,*,OK
я,*,OK
к,*,OK
_,*,OK
д,*,OK
о,*,OK
б,*,OK
р,*,OK
е,*,OK
_,*,OK
й,*,OK
о,*,OK
м,*,OK
у,*,OK
_,*,OK
б,*,OK
у,*,OK
л,*,OK
о,*,OK
_,*,OK
п,*,OK
р,*,OK
о,*,OK
к,*,OK
и,*,OK
д,*,OK
а,*,OK
є,ю,S
т,*,OK
ь,*,OK
с,*,OK
я,*,OK
_,*,OK
з,*,OK
_,*,OK
н,*,OK
е,*,OK
в,*,OK
ч,*,OK
а,*,OK
с,*,OK
н,*,OK
о,*,OK
_,*,OK
р,*,OK
о,*,OK
з,*,OK
п,*,OK
о,*,OK
ч,*,OK
а,*,OK
т,*,OK
о,*,OK
ї,*,OK
_,*,OK
с,*,OK
п,*,OK
л,*,OK
я,*,OK
ч,*,OK
к,*,OK
и,*,OK
_,*,OK
р,*,OK
о,*,OK
з,*,OK
л,*,OK
и,*,OK
в,*,OK
а,*,OK
є,*,OK
_,*,OK
с,*,OK
о,*,OK
н,*,OK
ц,*,OK
е,*,OK
_,*,OK
н,*,OK
а,*,OK
д,*,OK
_,*,OK
н,*,OK
и,*,OK
в,*,OK
а,*,OK
м,*,OK
и,*,OK
_,*,OK
т,*,OK
а,*,OK
_,*,OK
л,*,OK
і,*,OK
с,*,OK
а,*,OK
м,*,OK
и,*,OK
_,*,OK
і,*,OK
_,*,OK
с,*,OK
п,*,OK
а,*,OK
л,*,OK
а,*,OK
х,*,OK
у,*,OK
є,*,OK
_,*,OK
н,*,OK
а,*,OK
в,*,OK
к,*,OK
о,*,OK
л,*,OK
о,*,OK
_,*,OK
б,*,OK
а,*,OK
б,*,OK
и,*,OK
"""""",_,I
н,*,OK
е,*,OK
_,*,OK
л,*,OK
і,*,OK
т,*,OK
о,*,OK
_,*,OK
б,*,OK
у,*,OK
з,с,S
к,*,OK
о,*,OK
в,*,OK
а,*,OK
_,*,OK
г,*,OK
е,и,S
р,*,OK
а,*,OK
н,*,OK
ь,*,OK
_,*,OK
г,*,OK
н,*,OK
у,*,OK
ч,*,OK
к,*,OK
і,*,OK
_,*,OK
п,*,OK
е,*,OK
т,*,OK
р,*,OK
о,*,OK
в,*,OK
і,*,OK
_,*,OK
б,*,OK
а,*,OK
т,*,OK
о,*,OK
г,*,OK
и,*,OK
_,*,OK
ж,*,OK
о,*,OK
в,*,OK
т,ц,S
і,*,OK
_,*,OK
к,*,OK
у,*,OK
л,*,OK
ь,*,OK
б,*,OK
а,*,OK
б,*,OK
к,*,OK
и,*,OK
_,*,OK
б,*,OK
і,*,OK
л,*,OK
о,*,OK
с,*,OK
н,*,OK
і,*,OK
ж,*,OK
н,*,OK
і,*,OK
_,*,OK
р,*,OK
о,*,OK
м,*,OK
а,*,OK
ш,*,OK
к,*,OK
и,*,OK
_,*,OK
у,*,OK
с,*,OK
е,*,OK
_,*,OK
з,*,OK
н,*,OK
о,*,OK
в,*,OK
у,*,OK
_,*,OK
к,*,OK
в,*,OK
і,*,OK
т,*,OK
н,*,OK
е,*,OK
_,*,OK
с,*,OK
п,*,OK
о,*,OK
д,*,OK
і,*,OK
в,*,OK
а,*,OK
ю,*,OK
ч,*,OK
и,*,OK
с,*,OK
ь,*,OK
_,*,OK
н,*,OK
а,*,OK
_,*,OK
т,*,OK
е,*,OK
п,*,OK
л,*,OK
о,*,OK
_,*,OK
у,*,OK
д,*,OK
р,*,OK
у,*,OK
г,*,OK
е,*,OK
_,*,OK
в,*,OK
б,*,OK
и,*,OK
р,*,OK
а,*,OK
є,*,OK
т,*,OK
ь,*,OK
с,*,OK
я,*,OK
_,*,OK
у,*,OK
_,*,OK
в,*,OK
е,*,OK
с,*,OK
і,*,OK
л,*,OK
ь,*,OK
н,*,OK
и,*,OK
й,*,OK
_,*,OK
о,*,OK
д,*,OK
я,*,OK
г,*,OK
_,*,OK
г,*,OK
л,*,OK
у,*,OK
х,*,OK
а,*,OK
_,*,OK
к,*,OK
р,*,OK
о,*,OK
п,*,OK
и,*,OK
в,*,OK
а,*,OK
_,*,OK
ч,*,OK
е,*,OK
р,*,OK
в,*,OK
о,*,OK
н,*,OK
і,*,OK
ю,*,OK
т,*,OK
ь,*,OK
_,*,OK
н,*,OK
а,*,OK
в,*,OK
і,*,OK
т,*,OK
ь,*,OK
_,*,OK
д,*,OK
у,*,OK
х,*,OK
м,*,OK
"""""",_,I
я,*,OK
н,*,OK
і,*,OK
_,*,OK
с,*,OK
у,*,OK
н,*,OK
и,е,S
ч,*,OK
к,*,OK
и,*,OK
_,*,OK
н,*,OK
е,*,OK
б,*,OK
е,и,S
с,*,OK
а,*,OK
_,*,OK
о,у,S
с,*,OK
я,*,OK
я,є,S
н,*,OK
і,*,OK
_,*,OK
я,*,OK
с,*,OK
к,*,OK
р,*,OK
а,*,OK
в,*,OK
и,*,OK
м,*,OK
_,*,OK
х,*,OK
о,*,OK
л,*,OK
о,*,OK
д,*,OK
н,*,OK
и,*,OK
м,*,OK
_,*,OK
п,*,OK
р,*,OK
о,*,OK
м,*,OK
і,*,OK
н,*,OK
н,*,OK
я,*,OK
м,*,OK
_,*,OK
н,*,OK
и,*,OK
з,*,OK
ь,*,OK
к,*,OK
о,*,OK
_,*,OK
с,*,OK
х,*,OK
и,*,OK
л,*,OK
я,*,OK
ю,*,OK
т,*,OK
ь,*,OK
с,*,OK
я,*,OK
_,*,OK
д,*,OK
о,*,OK
_,*,OK
с,*,OK
п,*,OK
р,*,OK
а,*,OK
в,*,OK
ж,*,OK
н,*,OK
і,*,OK
х,*,OK
_,*,OK
о,*,OK
с,*,OK
і,*,OK
н,*,OK
н,*,OK
і,*,OK
х,*,OK
_,*,OK
к,*,OK
в,*,OK
і,*,OK
т,*,OK
і,*,OK
в,*,OK
_,*,OK
ж,*,OK
о,*,OK
р,*,OK
ж,*,OK
и,е,S
н,*,OK
_,*,OK
а,*,OK
й,*,OK
с,*,OK
т,*,OK
"""""",е,I
р,*,OK
_,*,OK
ч,*,OK
о,*,OK
р,*,OK
н,*,OK
о,*,OK
б,*,OK
р,*,OK
и,*,OK
в,*,OK
ц,*,OK
і,*,OK
в,*,OK
_,*,OK
с,*,OK
а,*,OK
л,*,OK
ь,*,OK
в,*,OK
і,*,OK
й,*,OK
_,*,OK
в,*,OK
о,*,OK
н,*,OK
и,*,OK
_,*,OK
б,*,OK
у,*,OK
д,*,OK
у,*,OK
т,*,OK
ь,*,OK
_,*,OK
с,*,OK
т,*,OK
о,*,OK
я,*,OK
т,*,OK
и,*,OK
_,*,OK
д,*,OK
о,*,OK
_,*,OK
о,*,OK
с,*,OK
т,*,OK
а,*,OK
н,*,OK
н,*,OK
ь,*,OK
о,*,OK
г,*,OK
о,*,OK
_,*,OK
з,*,OK
а,*,OK
к,*,OK
р,*,OK
и,*,OK
в,*,OK
а,*,OK
ю,*,OK
ч,*,OK
и,*,OK
с,*,OK
ь,*,OK
_,*,OK
п,*,OK
е,*,OK
л,*,OK
ю,*,OK
с,*,OK
т,*,OK
к,*,OK
а,*,OK
м,*,OK
и,*,OK
_,*,OK
в,*,OK
і,*,OK
д,*,OK
_,*,OK
п,*,OK
е,*,OK
р,*,OK
ш,*,OK
и,*,OK
х,*,OK
_,*,OK
щ,*,OK
е,*,OK
_,*,OK
н,*,OK
е,*,OK
_,*,OK
д,*,OK
у,*,OK
ж,*,OK
е,*,OK
_,*,OK
ж,*,OK
о,*,OK
р,*,OK
с,*,OK
т,*,OK
о,*,OK
к,*,OK
и,*,OK
х,*,OK
_,*,OK
м,*,OK
о,*,OK
р,*,OK
о,*,OK
з,*,OK
і,*,OK
в,*,OK
_,*,OK
а,*,OK
л,*,OK
е,*,OK
_,*,OK
ц,*,OK
е,*,OK
_,*,OK
б,*,OK
у,*,OK
д,*,OK
е,*,OK
_,*,OK
з,*,OK
а,*,OK
_,*,OK
к,*,OK
і,*,OK
л,*,OK
ь,*,OK
к,*,OK
а,*,OK
_,*,OK
д,*,OK
н,*,OK
і,*,OK
в,*,OK
_,*,OK
в,*,OK
с,*,OK
ь,*,OK
о,*,OK
г,*,OK
о,*,OK
_,*,OK
к,*,OK
і,*,OK
л,*,OK
ь,*,OK
к,*,OK
а,*,OK
_,*,OK
д,*,OK
н,*,OK
і,*,OK
в,*,OK
_,*,OK
а,*,OK
_,*,OK
з,*,OK
а,*,OK
р,*,OK
а,*,OK
з,*,OK
_,*,OK
б,*,OK
а,*,OK
б,*,OK
и,*,OK
"""""",_,I
н,*,OK
е,*,OK
_,*,OK
л,*,OK
і,*,OK
т,*,OK
о,*,OK
_,*,OK
з,*,OK
н,*,OK
о,*,OK
в,*,OK
у,*,OK
_,*,OK
з,*,OK
а,*,OK
м,*,OK
а,*,OK
й,*,OK
о,*,OK
р,*,OK
і,*,OK
л,*,OK
и,*,OK
_,*,OK
в,*,OK
_,*,OK
п,*,OK
о,*,OK
в,*,OK
і,*,OK
т,*,OK
р,*,OK
і,*,OK
_,*,OK
м,*,OK
е,*,OK
т,*,OK
е,*,OK
л,*,OK
и,*,OK
к,*,OK
и,*,OK
_,*,OK
з,*,OK
н,*,OK
о,*,OK
в,*,OK
у,*,OK
_,*,OK
г,*,OK
у,*,OK
д,*,OK
у,*,OK
т,*,OK
ь,*,OK
_,*,OK
д,*,OK
ж,*,OK
м,*,OK
е,*,OK
л,*,OK
і,*,OK
_,*,OK
з,*,OK
н,*,OK
о,*,OK
в,*,OK
у,*,OK
_,*,OK
с,*,OK
н,*,OK
у,*,OK
ю,*,OK
т,*,OK
ь,*,OK
_,*,OK
д,*,OK
о,*,OK
_,"""""",D
к,*,OK
в,*,OK
і,*,OK
т,*,OK
о,*,OK
"""""",_,I
к,*,OK
_,"""""",D
н,*,OK
і,*,OK
б,*,OK
и,*,OK
_,*,OK
і,*,OK
_,*,OK
н,*,OK
е,*,OK
_,"""""",D
с,*,OK
т,*,OK
о,*,OK
м,*,OK
л,*,OK
е,*,OK
н,*,OK
і,*,OK
_,*,OK
п,*,OK
р,*,OK
а,*,OK
ц,*,OK
е,*,OK
ю,*,OK
_,*,OK
б,*,OK
д,*,OK
ж,*,OK
о,*,OK
л,*,OK
и,*,OK
